student_id	name	email	course	year
S0001	Student1	student1@college.edu	CE	2
S0002	Student2	student2@college.edu	ECE	3
S0003	Student3	student3@college.edu	AI&ML	2
S0004	Student4	student4@college.edu	ECE	1
S0005	Student5	student5@college.edu	CSE	3
S0006	Student6	student6@college.edu	AI&ML	1
S0007	Student7	student7@college.edu	ME	2
S0008	Student8	student8@college.edu	CSE	4
S0009	Student9	student9@college.edu	ECE	2
S0010	Student10	student10@college.edu	CE	4
S0011	Student11	student11@college.edu	AI&ML	1
S0012	Student12	student12@college.edu	ME	3
S0013	Student13	student13@college.edu	AI&ML	3
S0014	Student14	student14@college.edu	CE	1
S0015	Student15	student15@college.edu	CE	4
S0016	Student16	student16@college.edu	DS	2
S0017	Student17	student17@college.edu	CE	2
S0018	Student18	student18@college.edu	CSE	1
S0019	Student19	student19@college.edu	EEE	1
S0020	Student20	student20@college.edu	AI&ML	2
S0021	Student21	student21@college.edu	ECE	2
S0022	Student22	student22@college.edu	AI&ML	4
S0023	Student23	student23@college.edu	ME	1
S0024	Student24	student24@college.edu	EEE	1
S0025	Student25	student25@college.edu	ME	3
S0026	Student26	student26@college.edu	ME	4
S0027	Student27	student27@college.edu	ME	1
S0028	Student28	student28@college.edu	CSE	4
S0029	Student29	student29@college.edu	ME	1
S0030	Student30	student30@college.edu	ECE	3
S0031	Student31	student31@college.edu	ME	2
S0032	Student32	student32@college.edu	CSE	4
S0033	Student33	student33@college.edu	CE	4
S0034	Student34	student34@college.edu	AI&ML	4
S0035	Student35	student35@college.edu	CSE	1
S0036	Student36	student36@college.edu	EEE	3
S0037	Student37	student37@college.edu	AI&ML	3
S0038	Student38	student38@college.edu	AI&ML	2
S0039	Student39	student39@college.edu	EEE	1
S0040	Student40	student40@college.edu	EEE	4
S0041	Student41	student41@college.edu	EEE	1
S0042	Student42	student42@college.edu	ME	3
S0043	Student43	student43@college.edu	ME	3
S0044	Student44	student44@college.edu	CE	1
S0045	Student45	student45@college.edu	CE	3
S0046	Student46	student46@college.edu	CE	3
S0047	Student47	student47@college.edu	CSE	4
S0048	Student48	student48@college.edu	DS	3
S0049	Student49	student49@college.edu	ME	1
S0050	Student50	student50@college.edu	DS	3
S0051	Student51	student51@college.edu	AI&ML	2
S0052	Student52	student52@college.edu	CE	1
S0053	Student53	student53@college.edu	DS	4
S0054	Student54	student54@college.edu	ECE	2
S0055	Student55	student55@college.edu	DS	4
S0056	Student56	student56@college.edu	EEE	3
S0057	Student57	student57@college.edu	DS	4
S0058	Student58	student58@college.edu	EEE	1
S0059	Student59	student59@college.edu	CSE	2
S0060	Student60	student60@college.edu	DS	4
S0061	Student61	student61@college.edu	ME	2
S0062	Student62	student62@college.edu	CSE	2
S0063	Student63	student63@college.edu	CSE	3
S0064	Student64	student64@college.edu	DS	3
S0065	Student65	student65@college.edu	EEE	4
S0066	Student66	student66@college.edu	ECE	4
S0067	Student67	student67@college.edu	EEE	1
S0068	Student68	student68@college.edu	ECE	2
S0069	Student69	student69@college.edu	DS	1
S0070	Student70	student70@college.edu	DS	3
